name,height,weight,age,position,tempo,skok,league,club
Kevin De Bruyne,181,70,31,CM,0,70,Premier League,Manchester City
Erling Haaland,195,94,22,ST,97,82,Premier League,Manchester City
Kevin De Bruyne,181,70,31,CM,84,71,Premier League,Manchester City
Jamal Musiala,183,70,20,CAM,94,80,Bundesliga,FC Bayern
Jude Bellingham,186,75,19,CM,90,91,Bundesliga,Dortmund
Matthijs de Ligt,189,89,23,CB,90,99,Bundesliga,FC Bayern
Joshua Kimmich,177,75,28,CDM,86,83,Bundesliga,FC Bayern
Virgil van Dijk,193,92,31,CB,0,None,Premier League,Liverpool
Rúben Dias,187,82,26,CB,88,87,Premier League,Manchester City
Mohamed Salah,175,71,30,RW,96,76,Premier League,Liverpool
Erling Haaland,195,94,22,ST,96,80,Premier League,Manchester City
Bernardo Silva,173,64,28,CM,89,61,Premier League,Manchester City
Leon Goretzka,189,82,28,CM,90,87,Bundesliga,FC Bayern
Sadio Mané,174,69,31,ST,96,97,Bundesliga,FC Bayern
Harry Kane,188,89,29,ST,90,89,Premier League,Spurs
Marcus Rashford,186,70,25,LW,99,93,Premier League,Manchester Utd
Christopher Nkunku,175,73,25,CF,97,70,Bundesliga,RB Leipzig
Jude Bellingham,186,75,19,CM,0,88,Bundesliga,Dortmund
Raphaël Varane,191,81,30,CB,90,95,Premier League,Manchester Utd
Heung Min Son,183,78,30,LW,93,67,Premier League,Spurs
Casemiro,185,84,31,CDM,84,92,Premier League,Manchester Utd
Moussa Diaby,170,68,23,RW,99,77,Bundesliga,Leverkusen
Kevin De Bruyne,181,70,31,CM,79,66,Premier League,Manchester City
Theo Hernández,184,81,25,LB,0,None,Serie A,Milan
Kingsley Coman,179,75,26,LM,97,87,Bundesliga,FC Bayern
Gabriel Jesus,175,73,26,ST,94,92,Premier League,Arsenal
Gabriel Martinelli,178,75,21,LW,98,70,Premier League,Arsenal
Bukayo Saka,178,65,21,RW,96,69,Premier League,Arsenal
Bruno Guimarães,182,74,25,CM,85,74,Premier League,Newcastle Utd
Julian Brandt,185,83,27,CM,86,77,Bundesliga,Dortmund
Marco Reus,180,71,33,LW,95,87,Bundesliga,Dortmund
Serge Gnabry,176,77,27,RM,94,70,Bundesliga,FC Bayern
Bernardo Silva,173,64,28,CAM,86,59,Premier League,Manchester City
Mohamed Salah,175,71,30,RW,93,74,Premier League,Liverpool
Mohamed Salah,175,71,30,RW,93,74,Premier League,Liverpool
Sadio Mané,174,69,31,LW,94,94,Bundesliga,FC Bayern
