name,height,weight,age,position,tempo,skok,league,club
Kevin De Bruyne,181,70,31,CM,0,70,13,10
Erling Haaland,195,94,22,ST,97,82,13,10
Kevin De Bruyne,181,70,31,CM,84,71,13,10
Jamal Musiala,183,70,20,CAM,94,80,19,21
Jude Bellingham,186,75,19,CM,90,91,19,22
Matthijs de Ligt,189,89,23,CB,90,99,19,21
Joshua Kimmich,177,75,28,CDM,86,83,19,21
Virgil van Dijk,193,92,31,CB,0,None,13,9
Rúben Dias,187,82,26,CB,88,87,13,10
Mohamed Salah,175,71,30,RW,96,76,13,9
Erling Haaland,195,94,22,ST,96,80,13,10
Bernardo Silva,173,64,28,CM,89,61,13,10
Leon Goretzka,189,82,28,CM,90,87,19,21
Sadio Mané,174,69,31,ST,96,97,19,21
Harry Kane,188,89,29,ST,90,89,13,18
Marcus Rashford,186,70,25,LW,99,93,13,11
Christopher Nkunku,175,73,25,CF,97,70,19,112172
Jude Bellingham,186,75,19,CM,0,88,19,22
Raphaël Varane,191,81,30,CB,90,95,13,11
Heung Min Son,183,78,30,LW,93,67,13,18
Casemiro,185,84,31,CDM,84,92,13,11
Moussa Diaby,170,68,23,RW,99,77,19,32
Kevin De Bruyne,181,70,31,CM,79,66,13,10
Theo Hernández,184,81,25,LB,0,None,31,47
Kingsley Coman,179,75,26,LM,97,87,19,21
Gabriel Jesus,175,73,26,ST,94,92,13,1
Gabriel Martinelli,178,75,21,LW,98,70,13,1
Bukayo Saka,178,65,21,RW,96,69,13,1
Bruno Guimarães,182,74,25,CM,85,74,13,13
Julian Brandt,185,83,27,CM,86,77,19,22
Marco Reus,180,71,33,LW,95,87,19,22
Serge Gnabry,176,77,27,RM,94,70,19,21
Bernardo Silva,173,64,28,CAM,86,59,13,10
Mohamed Salah,175,71,30,RW,93,74,13,9
Mohamed Salah,175,71,30,RW,93,74,13,9
Sadio Mané,174,69,31,LW,94,94,19,21
Kevin De Bruyne,181,70,31,CM,77,65,13,10
Kevin De Bruyne,181,70,31,CM,77,90,13,10
Aymeric Laporte,191,85,29,CB,86,90,13,10
Martin Ødegaard,178,68,24,CM,90,53,13,1
Kieran Trippier,173,71,32,RB,90,88,13,13
Kolo Muani,187,73,24,ST,95,99,19,1824
Niclas Füllkrug,189,83,30,ST,87,86,19,38
Alphonso Davies,185,77,22,LB,99,87,19,21
Jeremie Frimpong,171,63,22,RWB,99,88,19,32
Gregor Kobel,195,88,25,GK,0,None,19,22
Kaoru Mitoma,178,71,26,LW,97,87,13,1808
Vincenzo Grifo,180,76,30,LM,93,75,19,25
Kai Havertz,189,82,23,CAM,92,90,13,5
Alisson,191,91,30,GK,0,None,13,9
Tammy Abraham,195,86,25,ST,94,82,31,114912
Andrew Robertson,178,64,29,LB,93,75,13,9
Ismaël Bennacer,175,70,25,CM,88,90,31,47
Oleksandr Zinchenko,175,64,26,LB,91,87,13,1
William Saliba,192,85,22,CB,87,82,13,1
N'Golo Kanté,168,70,32,CDM,81,80,13,5
Virgil van Dijk,193,92,31,CB,83,90,13,9
Jamal Musiala,183,70,20,CAM,87,69,19,21
Casemiro,185,84,31,CDM,68,88,13,11
Harry Kane,188,89,29,ST,86,85,13,18
Sadio Mané,174,69,31,LM,93,90,19,21
Julián Álvarez,173,71,23,ST,90,74,13,10
Mohamed Salah,175,71,30,ST,92,72,13,9
Mohamed Salah,175,71,30,RW,92,72,13,9
Kevin De Bruyne,181,70,31,CM,75,65,13,10
Georginio Wijnaldum,175,74,32,CM,87,92,31,114912
Erling Haaland,195,94,22,ST,92,77,13,10
Maxence Lacroix,190,88,23,CB,91,93,19,175
Reece James,178,87,23,RWB,90,80,13,5
Leroy Sané,183,80,27,LM,95,72,19,21
Palhinha,190,85,27,CDM,80,90,13,144
Allan Saint-Maximin,173,67,26,LW,96,84,13,13
Guerreiro,170,71,29,LB,88,77,19,22
Ederson,188,86,29,GK,0,None,13,10
Giovanni Reyna,185,79,20,CAM,92,80,19,22
Thomas Müller,185,76,33,CAM,84,84,19,21
Nathan Aké,180,75,28,CB,86,99,13,10
Heung Min Son,183,78,30,ST,90,62,13,18
David Ginola,186,83,56,ST,92,92,13,114605
Bruno Guimarães,182,74,25,CM,83,72,13,13
Kalidou Koulibaly,187,89,31,CB,85,86,13,5
Roberto Firmino,181,76,31,CF,88,88,13,9
Lúcio,188,84,45,CB,85,88,19,114605
Rafael Leão,188,81,23,ST,96,70,31,47
Harry Kane,188,89,29,ST,84,82,13,18
Casemiro,185,84,31,CM,76,87,13,11
João Cancelo,182,74,29,LB,90,80,13,10
N'Golo Kanté,168,70,32,CDM,80,78,13,5
Joshua Kimmich,177,75,28,CM,78,81,19,21
